,0,1,2,3
0,6.4,3.1,5.5,1.8
1,5.4,3.0,4.5,1.5
2,5.2,3.5,1.5,0.2
3,6.1,3.0,4.9,1.8
4,6.4,2.8,5.6,2.2
5,5.2,2.7,3.9,1.4
6,5.7,3.8,1.7,0.3
7,6.0,2.7,5.1,1.6
8,5.9,3.0,4.2,1.5
9,5.8,2.6,4.0,1.2
10,6.8,3.0,5.5,2.1
11,4.7,3.2,1.3,0.2
12,6.9,3.1,5.1,2.3
13,5.0,3.5,1.6,0.6
14,5.4,3.7,1.5,0.2
15,5.0,2.0,3.5,1.0
16,6.5,3.0,5.5,1.8
17,6.7,3.3,5.7,2.5
18,6.0,2.2,5.0,1.5
19,6.7,2.5,5.8,1.8
20,5.6,2.5,3.9,1.1
21,7.7,3.0,6.1,2.3
22,6.3,3.3,4.7,1.6
23,5.5,2.4,3.8,1.1
24,6.3,2.7,4.9,1.8
25,6.3,2.8,5.1,1.5
26,4.9,2.5,4.5,1.7
27,6.3,2.5,5.0,1.9
28,7.0,3.2,4.7,1.4
29,6.5,3.0,5.2,2.0
30,6.0,3.4,4.5,1.6
31,4.8,3.1,1.6,0.2
32,5.8,2.7,5.1,1.9
33,5.6,2.7,4.2,1.3
34,5.6,2.9,3.6,1.3
35,5.5,2.5,4.0,1.3
36,6.1,3.0,4.6,1.4
37,7.2,3.2,6.0,1.8
38,5.3,3.7,1.5,0.2
39,4.3,3.0,1.1,0.1
40,6.4,2.7,5.3,1.9
41,5.7,3.0,4.2,1.2
42,5.4,3.4,1.7,0.2
43,5.7,4.4,1.5,0.4
44,6.9,3.1,4.9,1.5
45,4.6,3.1,1.5,0.2
46,5.9,3.0,5.1,1.8
47,5.1,2.5,3.0,1.1
48,4.6,3.4,1.4,0.3
49,6.2,2.2,4.5,1.5
50,7.2,3.6,6.1,2.5
51,5.7,2.9,4.2,1.3
52,4.8,3.0,1.4,0.1
53,7.1,3.0,5.9,2.1
54,6.9,3.2,5.7,2.3
55,6.5,3.0,5.8,2.2
56,6.4,2.8,5.6,2.1
57,5.1,3.8,1.6,0.2
58,4.8,3.4,1.6,0.2
59,6.5,3.2,5.1,2.0
60,6.7,3.3,5.7,2.1
61,4.5,2.3,1.3,0.3
62,6.2,3.4,5.4,2.3
63,4.9,3.0,1.4,0.2
64,5.7,2.5,5.0,2.0
65,6.9,3.1,5.4,2.1
66,4.4,3.2,1.3,0.2
67,5.0,3.6,1.4,0.2
68,7.2,3.0,5.8,1.6
69,5.1,3.5,1.4,0.3
70,4.4,3.0,1.3,0.2
71,5.4,3.9,1.7,0.4
72,5.5,2.3,4.0,1.3
73,6.8,3.2,5.9,2.3
74,7.6,3.0,6.6,2.1
75,5.1,3.5,1.4,0.2
76,4.9,3.1,1.5,0.1
77,5.2,3.4,1.4,0.2
78,5.7,2.8,4.5,1.3
79,6.6,3.0,4.4,1.4
80,5.0,3.2,1.2,0.2
81,5.1,3.3,1.7,0.5
82,6.4,2.9,4.3,1.3
83,5.4,3.4,1.5,0.4
84,7.7,2.6,6.9,2.3
85,4.9,2.4,3.3,1.0
86,7.9,3.8,6.4,2.0
87,6.7,3.1,4.4,1.4
88,5.2,4.1,1.5,0.1
89,6.0,3.0,4.8,1.8
90,5.8,4.0,1.2,0.2
91,7.7,2.8,6.7,2.0
92,5.1,3.8,1.5,0.3
93,4.7,3.2,1.6,0.2
94,7.4,2.8,6.1,1.9
95,5.0,3.3,1.4,0.2
96,6.3,3.4,5.6,2.4
97,5.7,2.8,4.1,1.3
98,5.8,2.7,3.9,1.2
99,5.7,2.6,3.5,1.0
100,6.4,3.2,5.3,2.3
101,6.7,3.0,5.2,2.3
102,6.3,2.5,4.9,1.5
103,6.7,3.0,5.0,1.7
104,5.0,3.0,1.6,0.2
105,5.5,2.4,3.7,1.0
106,6.7,3.1,5.6,2.4
107,5.8,2.7,5.1,1.9
108,5.1,3.4,1.5,0.2
109,6.6,2.9,4.6,1.3
110,5.6,3.0,4.1,1.3
111,5.9,3.2,4.8,1.8
112,6.3,2.3,4.4,1.3
113,5.5,3.5,1.3,0.2
114,5.1,3.7,1.5,0.4
115,4.9,3.1,1.5,0.1
116,6.3,2.9,5.6,1.8
117,5.8,2.7,4.1,1.0
118,7.7,3.8,6.7,2.2
119,4.6,3.2,1.4,0.2
